park_name,category,subcategory,civic_no,street,address,city,province,country,latitude,longitude,name,desc,color,source,precision
DODGE PARK,NEIGHBOURHOOD PARK,PARK,415,BLAIR CREEK DR,415 BLAIR CREEK DR,KITCHENER,ONTARIO,CANADA,43.3717976,-80.4299264,"BLAIR CREEK DR, KITCHENER, ONTARIO, CANADA","Blair Creek Dr, Kitchener, ON N2P, Canada",,Bing Maps,street
MONARCH WOODS,NATURAL AREA,OPEN SPACE/WOODLAND,166,FISCHER HALLMAN RD,166 FISCHER HALLMAN RD,KITCHENER,ONTARIO,CANADA,43.4213466,-80.5164913,"FISCHER HALLMAN RD, KITCHENER, ONTARIO, CANADA","Fischer Hallman Rd, Kitchener, ON N2M, Canada",,Bing Maps,street
SUMMERSIDE WOODS PARK NATURAL AREA,NATURAL AREA,OPEN SPACE/WOODLAND,,VICTORIA ST,VICTORIA ST,KITCHENER,ONTARIO,CANADA,43.446906,-80.5041527,"VICTORIA ST, KITCHENER, ONTARIO, CANADA","Victoria St S, Kitchener, ON N2G, Canada",,Bing Maps,street
HOMER WATSON PARK (REGION),NATURAL AREA,OPEN SPACE/WOODLAND,345,MILL PARK DR,345 MILL PARK DR,KITCHENER,ONTARIO,CANADA,43.3960759,-80.420444,"MILL PARK DR, KITCHENER, ONTARIO, CANADA","Mill Park Dr, Kitchener, ON N2P, Canada",,Bing Maps,street
SHADYRIDGE WOODS,NATURAL AREA,OPEN SPACE/WOODLAND,,SHADYRIDGE PL,SHADYRIDGE PL,KITCHENER,ONTARIO,CANADA,43.4335484,-80.5469216,"SHADYRIDGE PL, KITCHENER, ONTARIO, CANADA","Shadyridge Pl, Kitchener, ON N2N, Canada",,Bing Maps,street
IAN ORMSTON PARK NATURAL AREA,NEIGHBOURHOOD PARK,PARK,105,IAN ORMSTON DR,105 IAN ORMSTON DR,KITCHENER,ONTARIO,CANADA,43.3780156,-80.4195689,"IAN ORMSTON DR, KITCHENER, ONTARIO, CANADA","Ian Ormston Dr, Kitchener, ON N2P, Canada",,Bing Maps,street
RADDATZ PARK NATURAL AREA,NATURAL AREA,OPEN SPACE/WOODLAND,110,GAGE AVE,110 GAGE AVE,KITCHENER,ONTARIO,CANADA,43.447291,-80.5144295,"GAGE AVE, KITCHENER, ONTARIO, CANADA","Gage Ave, Kitchener, ON N2M, Canada",,Bing Maps,street
ALPINE PARK NATURAL AREA,NATURAL AREA,MINOR SPORTSFIELD,175,KINGSWOOD DR,175 KINGSWOOD DR,KITCHENER,ONTARIO,CANADA,43.4208041,-80.4749999,"KINGSWOOD DR, KITCHENER, ONTARIO, CANADA","Kingswood Dr, Kitchener, ON N2E, Canada",,Bing Maps,street
ROCKCLIFFE DR - SWP,OPEN SPACE,OPEN SPACE/SWM,192,ROCKCLIFFE DR,192 ROCKCLIFFE DR,KITCHENER,ONTARIO,CANADA,43.3819338,-80.4718743,"ROCKCLIFFE DR, KITCHENER, ONTARIO, CANADA","Rockcliffe Dr, Kitchener, ON N2R, Canada",,Bing Maps,street
AMAND DRIVE - SWP,OPEN SPACE,OPEN SPACE/SWM,,AMAND DR,AMAND DR,KITCHENER,ONTARIO,CANADA,43.3824726,-80.5002839,"AMAND DR, KITCHENER, ONTARIO, CANADA","Amand Dr, Kitchener, ON N2R, Canada",,Bing Maps,street
HUCK PARK GREENWAY - SWP,OPEN SPACE,OPEN SPACE/SWM,231,HUCK CRES,231 HUCK CRES,KITCHENER,ONTARIO,CANADA,43.4328807,-80.5525274,"HUCK CRES, KITCHENER, ONTARIO, CANADA","Huck Crescent, Kitchener, ON N2N, Canada",,Bing Maps,street
CONCORDIA PARK GREENWAY,GREENWAY,OPEN SPACE/TRAIL,25,GREENBROOK DR,25 GREENBROOK DR,KITCHENER,ONTARIO,CANADA,43.4252943,-80.5118468,"GREENBROOK DR, KITCHENER, ONTARIO, CANADA","Greenbrook Dr, Kitchener, ON N2M, Canada",,Bing Maps,street
ERINBROOK PARK GREENWAY,GREENWAY,OPEN SPACE/TRAIL,,ERINBROOK DR,ERINBROOK DR,KITCHENER,ONTARIO,CANADA,43.411495,-80.491005,"ERINBROOK DR, KITCHENER, ONTARIO, CANADA","Erinbrook Dr, Kitchener, ON N2E, Canada",,Bing Maps,street
EBY WOODS TRAIL,OPEN SPACE,OPEN SPACE/TRAIL,,OTTAWA ST S,OTTAWA ST S,KITCHENER,ONTARIO,CANADA,43.4371667,-80.476698,"OTTAWA ST S, KITCHENER, ONTARIO, CANADA","Ottawa St S, Kitchener, ON N2G, Canada",,Bing Maps,street
GRAND RIVER NATURAL AREA - HIDDEN VALLEY,NATURAL AREA,OPEN SPACE/FLOODPLAIN,2095,HIDDEN VALLEY CRES,2095 HIDDEN VALLEY CRES,KITCHENER,ONTARIO,CANADA,43.4139044,-80.4190148,"HIDDEN VALLEY CRES, KITCHENER, ONTARIO, CANADA","Hidden Valley Crescent, Kitchener, ON N2C, Canada",,Bing Maps,street
HENRY STURM GREENWAY/FENWICK GREENWAY,GREENWAY,OPEN SPACE/TRAIL,,WEST AVE,WEST AVE,KITCHENER,ONTARIO,CANADA,43.4424338,-80.5033644,"WEST AVE, KITCHENER, ONTARIO, CANADA","West Ave, Kitchener, ON N2M, Canada",,Bing Maps,street
HENRY STURM GREENWAY - RESURRECTION,GREENWAY,OPEN SPACE/TRAIL,,RESURRECTION DR,RESURRECTION DR,KITCHENER,ONTARIO,CANADA,43.436847,-80.550293,"RESURRECTION DR, KITCHENER, ONTARIO, CANADA","Resurrection Dr, Kitchener, ON N2N, Canada",,Bing Maps,street
FILSINGER PARK WEST NATURAL AREA,NATURAL AREA,OPEN SPACE/TRAIL,,LAWRENCE AVE,LAWRENCE AVE,KITCHENER,ONTARIO,CANADA,43.4383482,-80.5103775,"LAWRENCE AVE, KITCHENER, ONTARIO, CANADA","Lawrence Ave, Kitchener, ON N2M, Canada",,Bing Maps,street
HEARTHWOOD TRAIL,GREENWAY,OPEN SPACE/TRAIL,,HEARTHWOOD DR,HEARTHWOOD DR,KITCHENER,ONTARIO,CANADA,43.3816282,-80.4543802,"HEARTHWOOD DR, KITCHENER, ONTARIO, CANADA","Hearthwood Dr, Kitchener, ON N2R, Canada",,Bing Maps,street
RITTENHOUSE PARK GREENWAY,GREENWAY,OPEN SPACE/TRAIL,,RITTENHOUSE RD,RITTENHOUSE RD,KITCHENER,ONTARIO,CANADA,43.4099445,-80.4831502,"RITTENHOUSE RD, KITCHENER, ONTARIO, CANADA","Rittenhouse Rd, Kitchener, ON N2E, Canada",,Bing Maps,street
SCHNEIDER CREEK MANITOU GREENWAY,GREENWAY,OPEN SPACE/TRAIL,36,MANITOU DR,36 MANITOU DR,KITCHENER,ONTARIO,CANADA,43.4184309,-80.4530933,"MANITOU DR, KITCHENER, ONTARIO, CANADA","Manitou Dr, Kitchener, ON N2C, Canada",,Bing Maps,street
UPPER CANADA PARK,NEIGHBOURHOOD PARK,PLAY AREA,216,FARRIER DR,216 FARRIER DR,KITCHENER,ONTARIO,CANADA,43.3976715,-80.4400547,"FARRIER DR, KITCHENER, ONTARIO, CANADA","Farrier Dr, Kitchener, ON N2P, Canada",,Bing Maps,street
VETERANS' PARK GREENWAY,GREENWAY,OPEN SPACE,,ST CLAIR AVE,ST CLAIR AVE,KITCHENER,ONTARIO,CANADA,43.4376336,-80.4956308,"ST CLAIR AVE, KITCHENER, ONTARIO, CANADA","St Clair Ave, Kitchener, ON N2M, Canada",,Bing Maps,street
WILLOWLAKE PARK GREENWAY,OPEN SPACE,OPEN SPACE/TRAIL,1851,OLD MILL RD,1851 OLD MILL RD,KITCHENER,ONTARIO,CANADA,43.3934933,-80.41451,"OLD MILL RD, KITCHENER, ONTARIO, CANADA","Old Mill Rd, Kitchener, ON N2P, Canada",,Bing Maps,street
COUNTRYSTONE PARK,NEIGHBOURHOOD PARK,TO INPUT,1086,COUNTRYSTONE DR,1086 COUNTRYSTONE DR,KITCHENER,ONTARIO,CANADA,43.4376424,-80.5530452,"COUNTRYSTONE DR, KITCHENER, ONTARIO, CANADA","Countrystone Dr, Kitchener, ON N2N, Canada",,Bing Maps,street
HIGHBROOK GREENWAY,GREENWAY,OPEN SPACE/TRAIL,,HIGHBROOK ST,HIGHBROOK ST,KITCHENER,ONTARIO,CANADA,43.4094539,-80.4999483,"HIGHBROOK ST, KITCHENER, ONTARIO, CANADA","Highbrook St, Kitchener, ON N2E, Canada",,Bing Maps,street
HIGHBROOK PARK,NEIGHBOURHOOD PARK,PLAY AREA,110,HIGHBROOK ST,110 HIGHBROOK ST,KITCHENER,ONTARIO,CANADA,43.4094539,-80.4999483,"HIGHBROOK ST, KITCHENER, ONTARIO, CANADA","Highbrook St, Kitchener, ON N2E, Canada",,Bing Maps,street
RIVER BIRCH PARK - SWP,OPEN SPACE,OPEN SPACE/SWM,900,RIVER BIRCH CRT,900 RIVER BIRCH CRT,KITCHENER,ONTARIO,CANADA,43.412217,-80.4268419,"RIVER BIRCH CRT, KITCHENER, ONTARIO, CANADA","River Birch Crt, Kitchener, ON N2C, Canada",,Bing Maps,street
SPRINGMOUNT PARK - SWP,OPEN SPACE,OPEN SPACE/SWM,27,SPRINGMOUNT DR,27 SPRINGMOUNT DR,KITCHENER,ONTARIO,CANADA,43.4478566,-80.4245268,"SPRINGMOUNT DR, KITCHENER, ONTARIO, CANADA","Springmount Dr, Kitchener, ON N2A, Canada",,Bing Maps,street
PATRICIA PARK,NEIGHBOURHOOD PARK,PARK,360,PATRICIA AVE,360 PATRICIA AVE,KITCHENER,ONTARIO,CANADA,43.4418733,-80.5060033,"PATRICIA AVE, KITCHENER, ONTARIO, CANADA","Patricia Ave, Kitchener, ON N2M, Canada",,Bing Maps,street
RESURRECTION PARK,NEIGHBOURHOOD PARK,OPEN SPACE/TRAIL,71,RESURRECTION DR,71 RESURRECTION DR,KITCHENER,ONTARIO,CANADA,43.436847,-80.550293,"RESURRECTION DR, KITCHENER, ONTARIO, CANADA","Resurrection Dr, Kitchener, ON N2N, Canada",,Bing Maps,street
BATTLER ROAD GREENWAY - SWP,OPEN SPACE,OPEN SPACE/SWM,225,OLD HURON RD,225 OLD HURON RD,KITCHENER,ONTARIO,CANADA,43.3950465,-80.4615035,"OLD HURON RD, KITCHENER, ONTARIO, CANADA","Old Huron Rd, Kitchener, ON N2R, Canada",,Bing Maps,street
OXFORD ST PARK,OPEN SPACE,OPEN SPACE/TRAIL,291,OXFORD ST,291 OXFORD ST,KITCHENER,ONTARIO,CANADA,43.4698611,-80.4868706,"OXFORD ST, KITCHENER, ONTARIO, CANADA","Oxford St, Kitchener, ON N2H, Canada",,Bing Maps,street
LAURENTIAN WETLAND - SWP,OPEN SPACE,OPEN SPACE/SWM,,DAVID BERGEY DR,DAVID BERGEY DR,KITCHENER,ONTARIO,CANADA,43.4067923,-80.5188309,"DAVID BERGEY DR, KITCHENER, ONTARIO, CANADA","David Bergey Dr, Kitchener, ON N2E, Canada",,Bing Maps,street
RITTENHOUSE PARK - SWP,OPEN SPACE,OPEN SPACE/SWM,345,RITTENHOUSE RD,345 RITTENHOUSE RD,KITCHENER,ONTARIO,CANADA,43.4099445,-80.4831502,"RITTENHOUSE RD, KITCHENER, ONTARIO, CANADA","Rittenhouse Rd, Kitchener, ON N2E, Canada",,Bing Maps,street
SCHOOL CREEK NATURAL AREA,NATURAL AREA,OPEN SPACE/TRAIL,50,DOON SOUTH DR,50 DOON SOUTH DR,KITCHENER,ONTARIO,CANADA,43.3762162,-80.4338862,"DOON SOUTH DR, KITCHENER, ONTARIO, CANADA","Doon South Dr, Kitchener, ON N2P, Canada",,Bing Maps,street
SCHOOL CREEK - SWP,OPEN SPACE,OPEN SPACE/SWM,50,DOON SOUTH DR,50 DOON SOUTH DR,KITCHENER,ONTARIO,CANADA,43.3762162,-80.4338862,"DOON SOUTH DR, KITCHENER, ONTARIO, CANADA","Doon South Dr, Kitchener, ON N2P, Canada",,Bing Maps,street
WINIFRED WOODS - SWP,OPEN SPACE,OPEN SPACE/SWM,44,WINIFRED PL,44 WINIFRED PL,KITCHENER,ONTARIO,CANADA,43.4105533,-80.4060676,"WINIFRED PL, KITCHENER, ONTARIO, CANADA","Winifred St, Kitchener, ON N2P, Canada",,Bing Maps,street
HIDDEN VALLEY CRESCENT NATURAL AREA,NATURAL AREA,PASSIVE AREA,,HIDDEN VALLEY RD,HIDDEN VALLEY RD,KITCHENER,ONTARIO,CANADA,43.4151016,-80.4185106,"HIDDEN VALLEY RD, KITCHENER, ONTARIO, CANADA","Hidden Valley Rd, Kitchener, ON N2C, Canada",,Bing Maps,street
HIDDEN VALLEY CRESCENT PARK - SWP,OPEN SPACE,OPEN SPACE/SWM,,HIDDEN VALLEY CRESCENT,HIDDEN VALLEY CRESCENT,KITCHENER,ONTARIO,CANADA,43.4139044,-80.4190148,"HIDDEN VALLEY CRESCENT, KITCHENER, ONTARIO, CANADA","Hidden Valley Crescent, Kitchener, ON N2C, Canada",,Bing Maps,street
IDLEWOOD CREEK - SWP#B,OPEN SPACE,OPEN SPACE/SWM,895,FAIRWAY RD N,895 FAIRWAY RD N,KITCHENER,ONTARIO,CANADA,43.4287407,-80.4319771,"FAIRWAY RD N, KITCHENER, ONTARIO, CANADA","Fairway Rd N, Kitchener, ON N2A, Canada",,Bing Maps,street
IDLEWOOD PARK - SWP,OPEN SPACE,OPEN SPACE/SWM,,RIVER RD E,RIVER RD E,KITCHENER,ONTARIO,CANADA,43.4581692,-80.4527454,"RIVER RD E, KITCHENER, ONTARIO, CANADA","River Rd E, Kitchener, ON N2B, Canada",,Bing Maps,street
WESTCHESTER PARK - SWP,OPEN SPACE,OPEN SPACE/SWM,173,WESTCHESTER DR,173 WESTCHESTER DR,KITCHENER,ONTARIO,CANADA,43.4614834,-80.433051,"WESTCHESTER DR, KITCHENER, ONTARIO, CANADA","Westchester Dr, Kitchener, ON N2B, Canada",,Bing Maps,street
KOLB VALLEY - SWP#B,OPEN SPACE,OPEN SPACE/SWM,402,OTTERBEIN RD,402 OTTERBEIN RD,KITCHENER,ONTARIO,CANADA,43.4661391,-80.4304205,"OTTERBEIN RD, KITCHENER, ONTARIO, CANADA","Otterbein Rd, Kitchener, ON N2B, Canada",,Bing Maps,street
STANLEY PARK OPTIMIST NATURAL AREA - SWP,OPEN SPACE,OPEN SPACE/SWM,2500,VICTORIA ST N,2500 VICTORIA ST N,KITCHENER,ONTARIO,CANADA,43.4591372,-80.4807615,"VICTORIA ST N, KITCHENER, ONTARIO, CANADA","Victoria St N, Kitchener, ON N2H, Canada",,Bing Maps,street
MARISA PARK - SWP,OPEN SPACE,OPEN SPACE/SWM,63,MARISA ST,63 MARISA ST,KITCHENER,ONTARIO,CANADA,43.4775503,-80.4679444,"MARISA ST, KITCHENER, ONTARIO, CANADA","Marisa St, Kitchener, ON N2K, Canada",,Bing Maps,street
FALCONRIDGE DRIVE NATURAL AREA,NATURAL AREA,OPEN SPACE/WETLAND,,FALCONRIDGE DR,FALCONRIDGE DR,KITCHENER,ONTARIO,CANADA,43.4962255,-80.4733095,"FALCONRIDGE DR, KITCHENER, ONTARIO, CANADA","Falconridge Dr, Kitchener, ON N2K, Canada",,Bing Maps,street
BATTLER ROAD GREENWAY,GREENWAY,OPEN SPACE/TRAIL,,OLD HURON RD,OLD HURON RD,KITCHENER,ONTARIO,CANADA,43.3950465,-80.4615035,"OLD HURON RD, KITCHENER, ONTARIO, CANADA","Old Huron Rd, Kitchener, ON N2R, Canada",,Bing Maps,street
KOLB VALLEY - SWP#A,OPEN SPACE,OPEN SPACE/SWM,643,MANCHESTER RD,643 MANCHESTER RD,KITCHENER,ONTARIO,CANADA,43.459171,-80.4543665,"MANCHESTER RD, KITCHENER, ONTARIO, CANADA","Manchester Rd, Kitchener, ON N2B, Canada",,Bing Maps,street
SPRINGMOUNT PARK NATURAL AREA - SWP#A,OPEN SPACE,OPEN SPACE/SWM,323,EDENBRIDGE PL,323 EDENBRIDGE PL,KITCHENER,ONTARIO,CANADA,43.4472677,-80.432067,"EDENBRIDGE PL, KITCHENER, ONTARIO, CANADA","Edenbridge Pl, Kitchener, ON N2A, Canada",,Bing Maps,street
SPRINGMOUNT PARK NATURAL AREA - SWP#B,OPEN SPACE,OPEN SPACE/SWM,190,OLD CHICOPEE DR,190 OLD CHICOPEE DR,KITCHENER,ONTARIO,CANADA,43.4449259,-80.4329659,"OLD CHICOPEE DR, KITCHENER, ONTARIO, CANADA","Old Chicopee Dr, Kitchener, ON N2A, Canada",,Bing Maps,street
SPRINGMOUNT PARK NATURAL AREA - SWP#C,OPEN SPACE,OPEN SPACE/SWM,138,BRIARMEADOW PL,138 BRIARMEADOW PL,KITCHENER,ONTARIO,CANADA,43.443927,-80.426861,"BRIARMEADOW PL, KITCHENER, ONTARIO, CANADA","Briarmeadow Pl, Kitchener, ON N2A, Canada",,Bing Maps,street
TOPPER WOODS - SWP,OPEN SPACE,OPEN SPACE/SWM,404,DOON SOUTH DR,404 DOON SOUTH DR,KITCHENER,ONTARIO,CANADA,43.3762162,-80.4338862,"DOON SOUTH DR, KITCHENER, ONTARIO, CANADA","Doon South Dr, Kitchener, ON N2P, Canada",,Bing Maps,street
WATERFORD COURT - SWP,OPEN SPACE,OPEN SPACE/SWM,30,PINE VALLEY DR,30 PINE VALLEY DR,KITCHENER,ONTARIO,CANADA,43.3855205,-80.4321548,"PINE VALLEY DR, KITCHENER, ONTARIO, CANADA","Pine Valley Dr, Kitchener, ON N2P, Canada",,Bing Maps,street
WINDRUSH PARK - SWP,OPEN SPACE,OPEN SPACE/SWM,190,WINDRUSH TRAIL,190 WINDRUSH TRAIL,KITCHENER,ONTARIO,CANADA,43.3819643,-80.4214349,"WINDRUSH TRAIL, KITCHENER, ONTARIO, CANADA","Windrush Trail, Kitchener, ON N2P, Canada",,Bing Maps,street
KOLB PARK - SWP,OPEN SPACE,OPEN SPACE/SWM,235,CENTENNIAL CRT,235 CENTENNIAL CRT,KITCHENER,ONTARIO,CANADA,43.4756283,-80.4280588,"CENTENNIAL CRT, KITCHENER, ONTARIO, CANADA","Centennial Crt, Kitchener, ON N2B, Canada",,Bing Maps,street
SUMMERSIDE WOODS PARK - SWP,OPEN SPACE,OPEN SPACE/SWM,1275,VICTORIA ST,1275 VICTORIA ST,KITCHENER,ONTARIO,CANADA,43.446906,-80.5041527,"VICTORIA ST, KITCHENER, ONTARIO, CANADA","Victoria St S, Kitchener, ON N2G, Canada",,Bing Maps,street
RESURRECTION PARK - SWP,OPEN SPACE,OPEN SPACE/SWM,71,RESURRECTION DR,71 RESURRECTION DR,KITCHENER,ONTARIO,CANADA,43.436847,-80.550293,"RESURRECTION DR, KITCHENER, ONTARIO, CANADA","Resurrection Dr, Kitchener, ON N2N, Canada",,Bing Maps,street
WESTMEADOW PARK - SWP,OPEN SPACE,OPEN SPACE/SWM,281,WESTMEADOW DR,281 WESTMEADOW DR,KITCHENER,ONTARIO,CANADA,43.4293075,-80.5471645,"WESTMEADOW DR, KITCHENER, ONTARIO, CANADA","Westmeadow Dr, Kitchener, ON N2N, Canada",,Bing Maps,street
WALDAU WOODS PARK - SWP,OPEN SPACE,OPEN SPACE/SWM,19,PENELOPE DR,19 PENELOPE DR,KITCHENER,ONTARIO,CANADA,43.420164,-80.5555145,"PENELOPE DR, KITCHENER, ONTARIO, CANADA","Penelope Dr, Kitchener, ON N2N, Canada",,Bing Maps,street
FOREST WEST PARK - SWP,OPEN SPACE,OPEN SPACE/SWM,155,HIGHVIEW DR,155 HIGHVIEW DR,KITCHENER,ONTARIO,CANADA,43.415577,-80.5478274,"HIGHVIEW DR, KITCHENER, ONTARIO, CANADA","Highview Dr, Kitchener, ON N2N, Canada",,Bing Maps,street
PARKVALE PARK,NATURAL AREA,OPEN SPACE/WOODLAND,275,PARKVALE DR,275 PARKVALE DR,KITCHENER,ONTARIO,CANADA,43.3890027,-80.4779947,"PARKVALE DR, KITCHENER, ONTARIO, CANADA","Parkvale Dr, Kitchener, ON N2R, Canada",,Bing Maps,street
STRASBURG CREEK - SWP#A,OPEN SPACE,OPEN SPACE/SWM,548,HURON RD,548 HURON RD,KITCHENER,ONTARIO,CANADA,43.3919706,-80.4664175,"HURON RD, KITCHENER, ONTARIO, CANADA","Huron Rd, Kitchener, ON N2R, Canada",,Bing Maps,street
KILKERRAN CRES - SWP,OPEN SPACE,OPEN SPACE/SWM,1891,KILKERRAN CRES,1891 KILKERRAN CRES,KITCHENER,ONTARIO,CANADA,43.3863259,-80.4564161,"KILKERRAN CRES, KITCHENER, ONTARIO, CANADA","Kilkerran Crescent, Kitchener, ON N2R, Canada",,Bing Maps,street
STRASBURG CREEK - SWP#B,OPEN SPACE,OPEN SPACE/SWM,1891,RUSH MEADOW ST,1891 RUSH MEADOW ST,KITCHENER,ONTARIO,CANADA,43.3898989,-80.4626102,"RUSH MEADOW ST, KITCHENER, ONTARIO, CANADA","Rush Meadow St, Kitchener, ON N2R, Canada",,Bing Maps,street
TILT'S BUSH  - SWP#B,OPEN SPACE,OPEN SPACE/SWM,139,BECHTEL DR,139 BECHTEL DR,KITCHENER,ONTARIO,CANADA,43.389975,-80.4447582,"BECHTEL DR, KITCHENER, ONTARIO, CANADA","Bechtel Dr, Kitchener, ON N2P, Canada",,Bing Maps,street
TILT'S BUSH - SWP#A,OPEN SPACE,OPEN SPACE/SWM,139,BECHTEL DR,139 BECHTEL DR,KITCHENER,ONTARIO,CANADA,43.389975,-80.4447582,"BECHTEL DR, KITCHENER, ONTARIO, CANADA","Bechtel Dr, Kitchener, ON N2P, Canada",,Bing Maps,street
FOREST CREEK DR - SWP,OPEN SPACE,OPEN SPACE/SWM,24,FOREST CREEK DR,24 FOREST CREEK DR,KITCHENER,ONTARIO,CANADA,43.3795521,-80.4415356,"FOREST CREEK DR, KITCHENER, ONTARIO, CANADA","Forest Creek Dr, Kitchener, ON N2R, Canada",,Bing Maps,street
THOMAS SLEE DR - SWP,OPEN SPACE,OPEN SPACE/SWM,870,THOMAS SLEE DR,870 THOMAS SLEE DR,KITCHENER,ONTARIO,CANADA,43.374953,-80.4362168,"THOMAS SLEE DR, KITCHENER, ONTARIO, CANADA","Thomas Slee Dr, Kitchener, ON N2P, Canada",,Bing Maps,street
PIONEER TOWER NATURAL AREA - SWP,OPEN SPACE,OPEN SPACE/SWM,310,LOOKOUT LANE,310 LOOKOUT LANE,KITCHENER,ONTARIO,CANADA,43.4046538,-80.4172672,"LOOKOUT LANE, KITCHENER, ONTARIO, CANADA","Lookout Lane, Kitchener, ON N2P, Canada",,Bing Maps,street
STRASBURG CREEK NORTH BRANCH - SWP,OPEN SPACE,OPEN SPACE/SWM,535,TRILLIUM DR,535 TRILLIUM DR,KITCHENER,ONTARIO,CANADA,43.4013993,-80.4671115,"TRILLIUM DR, KITCHENER, ONTARIO, CANADA","Trillium Dr, Kitchener, ON N2E, Canada",,Bing Maps,street
BUERKLE CRT - SWP,OPEN SPACE,OPEN SPACE/SWM,26,BUERKLE CRT,26 BUERKLE CRT,KITCHENER,ONTARIO,CANADA,43.386878,-80.4320047,"BUERKLE CRT, KITCHENER, ONTARIO, CANADA","Buerkle Crt, Kitchener, ON N2P, Canada",,Bing Maps,street
BLAIR CREEK - SWP#D,OPEN SPACE,OPEN SPACE/SWM,,BLAIR CREEK DR,BLAIR CREEK DR,KITCHENER,ONTARIO,CANADA,43.3717976,-80.4299264,"BLAIR CREEK DR, KITCHENER, ONTARIO, CANADA","Blair Creek Dr, Kitchener, ON N2P, Canada",,Bing Maps,street
BALZER GREENWAY EAST - SWP,OPEN SPACE,OPEN SPACE/SWM,255,FALLOWFIELD DR,255 FALLOWFIELD DR,KITCHENER,ONTARIO,CANADA,43.4168086,-80.4620654,"FALLOWFIELD DR, KITCHENER, ONTARIO, CANADA","Fallowfield Dr, Kitchener, ON N2C, Canada",,Bing Maps,street
GRAND RIVER NA - SWP,OPEN SPACE,OPEN SPACE/SWM,52,RIVER RIDGE ST,52 RIVER RIDGE ST,KITCHENER,ONTARIO,CANADA,43.4545943,-80.4038779,"RIVER RIDGE ST, KITCHENER, ONTARIO, CANADA","River Ridge St, Kitchener, ON N2A, Canada",,Bing Maps,street
GRAND RIVER NA - RIVER RIDGE - SWP,OPEN SPACE,OPEN SPACE/SWM,1270,OLD ZELLER DR,1270 OLD ZELLER DR,KITCHENER,ONTARIO,CANADA,43.4523576,-80.4074068,"OLD ZELLER DR, KITCHENER, ONTARIO, CANADA","Old Zeller Dr, Kitchener, ON N2A, Canada",,Bing Maps,street
DETWEILER PARK - SWP#A,OPEN SPACE,OPEN SPACE/SWM,45,WESTFOREST TRAIL,45 WESTFOREST TRAIL,KITCHENER,ONTARIO,CANADA,43.4312449,-80.544348,"WESTFOREST TRAIL, KITCHENER, ONTARIO, CANADA","Westforest Trail, Kitchener, ON N2N, Canada",,Bing Maps,street
DETWEILER PARK - SWP#B,OPEN SPACE,OPEN SPACE/SWM,471,WESTFOREST TRAIL,471 WESTFOREST TRAIL,KITCHENER,ONTARIO,CANADA,43.4312449,-80.544348,"WESTFOREST TRAIL, KITCHENER, ONTARIO, CANADA","Westforest Trail, Kitchener, ON N2N, Canada",,Bing Maps,street
DETWEILER PARK - SWP#C,OPEN SPACE,OPEN SPACE/SWM,465,WESTFOREST TRAIL,465 WESTFOREST TRAIL,KITCHENER,ONTARIO,CANADA,43.4312449,-80.544348,"WESTFOREST TRAIL, KITCHENER, ONTARIO, CANADA","Westforest Trail, Kitchener, ON N2N, Canada",,Bing Maps,street
HURON NATURAL AREA - SWP#B,OPEN SPACE,OPEN SPACE/SWM,801,TRILLIUM DR,801 TRILLIUM DR,KITCHENER,ONTARIO,CANADA,43.4013993,-80.4671115,"TRILLIUM DR, KITCHENER, ONTARIO, CANADA","Trillium Dr, Kitchener, ON N2E, Canada",,Bing Maps,street
HURON NATURAL AREA - SWP#A,OPEN SPACE,OPEN SPACE/SWM,801,TRILLIUM DR,801 TRILLIUM DR,KITCHENER,ONTARIO,CANADA,43.4013993,-80.4671115,"TRILLIUM DR, KITCHENER, ONTARIO, CANADA","Trillium Dr, Kitchener, ON N2E, Canada",,Bing Maps,street
SETTLERS GROVE PARK - SWP,OPEN SPACE,OPEN SPACE/SWM,150,PIONEER TOWER RD,150 PIONEER TOWER RD,KITCHENER,ONTARIO,CANADA,43.4061679,-80.4088027,"PIONEER TOWER RD, KITCHENER, ONTARIO, CANADA","Pioneer Tower Rd, Kitchener, ON N2P, Canada",,Bing Maps,street
TILT'S BUSH - SWP#C,OPEN SPACE,OPEN SPACE/SWM,139,BECHTEL DR,139 BECHTEL DR,KITCHENER,ONTARIO,CANADA,43.389975,-80.4447582,"BECHTEL DR, KITCHENER, ONTARIO, CANADA","Bechtel Dr, Kitchener, ON N2P, Canada",,Bing Maps,street
TILT'S BUSH - SWP#D,OPEN SPACE,OPEN SPACE/SWM,139,BECHTEL DR,139 BECHTEL DR,KITCHENER,ONTARIO,CANADA,43.389975,-80.4447582,"BECHTEL DR, KITCHENER, ONTARIO, CANADA","Bechtel Dr, Kitchener, ON N2P, Canada",,Bing Maps,street
VOISIN GREENWAY - SWP,OPEN SPACE,OPEN SPACE/SWM,1400,OTTAWA ST S,1400 OTTAWA ST S,KITCHENER,ONTARIO,CANADA,43.4371667,-80.476698,"OTTAWA ST S, KITCHENER, ONTARIO, CANADA","Ottawa St S, Kitchener, ON N2G, Canada",,Bing Maps,street
VOISIN CREEK GREENWAY,GREENWAY,OPEN SPACE/FLOODPLAIN,,STONYBROOK DR,STONYBROOK DR,KITCHENER,ONTARIO,CANADA,43.4249784,-80.5118177,"STONYBROOK DR, KITCHENER, ONTARIO, CANADA","Stonybrook Dr, Kitchener, ON N2M, Canada",,Bing Maps,street
